['1688', 'CPC Dry Lab 1.2', 'D17.1501']
['1689', 'CPC Dry Lab 1.3', 'D17.1502']
['1686', 'CPC Dry Lab 1.4 (MS)', 'D17.1503']
['1687', 'CPC Dry Lab 1.5 (MS)', 'D17.1504']
['1895', 'CPC Dry Labs 1.2 and 1.3', 'D17.1501.1502']
['1896', 'CPC Dry Labs 1.4 and 1.5', 'D17.1503.1504']
['1901', 'CPC Exercise Lab 2', 'D17.1301.2']
['1691', 'CPC Exercise Lab 3 and 4', 'D17.1301']
['1699', 'CPC Lecture Theatre', 'D17.B1900']
['1698', 'CPC PC2 Lab (2502)', 'D17.2502']
['1692', 'CPC Seminar Room 1.1', 'D17.1100']
['1693', 'CPC Seminar Room 1.2', 'D17.1101']
['1694', 'CPC Seminar Room 1.3', 'D17.1103']
['1695', 'CPC Seminar Room 1.4', 'D17.1102']
['1696', 'CPC Seminar Room 2.1', 'D17.2101']
['1697', 'CPC Seminar Room 2.2', 'D17.2103']
['1892', 'CPC Sem Rooms 1.1 and 1.3', 'D17.1100.1103']
['1893', 'CPC Sem Rooms 1.2 and 1.4', 'D17.1101.1102']
['1894', 'CPC Sem Rooms 2.1 and 2.2', 'D17.2101.2103']
['1731', 'CPC XLab', 'D15.2501']
['1700', 'CPC XLab Bench A01-A02', 'D17.2501A']
['1701', 'CPC XLab Bench A03-A04', 'D17.2501B']
['1702', 'CPC XLab Bench A05-A06', 'D17.2501C']
['1703', 'CPC XLab Bench A07-A08', 'D17.2501D']
['1704', 'CPC XLab Bench A09-A10', 'D17.2501E']
['1705', 'CPC XLab Bench A11-A12', 'D17.2501F']
['1706', 'CPC XLab Bench A13-A14', 'D17.2501G']
['1707', 'CPC XLab Bench A15-A16', 'D17.2501H']
['1708', 'CPC XLab Bench A17-A18', 'D17.2501I']
['1709', 'CPC XLab Bench A19-A20', 'D17.2501J']
['1710', 'CPC XLab Bench A21-A22', 'D17.2501K']
['1711', 'CPC XLab Bench B01-B02', 'D17.2501L']
['1712', 'CPC XLab Bench B03-B04', 'D17.2501M']
['1713', 'CPC XLab Bench B05-B06', 'D17.2501N']
['1714', 'CPC XLab Bench B07-B08', 'D17.2501O']
['1715', 'CPC XLab Bench B09-B10', 'D17.2501P']
['1716', 'CPC XLab Bench B11-B12', 'D17.2501Q']
['1717', 'CPC XLab Bench B13-B14', 'D17.2501R']
['1718', 'CPC XLab Bench B15-B16', 'D17.2501S']
['1719', 'CPC XLab Bench B17-B18', 'D17.2501T']
['1720', 'CPC XLab Bench B19-B20', 'D17.2501U']
['1721', 'CPC XLab Bench B21-B22', 'D17.2501V']
['1626', 'Cumberland Library R112', 'C43.R112']
['743', 'Cumberland LT E101', 'C43E.E101-201']
['502', 'DB Consulting Room', 'DBCR']
['500', 'DB Resus Room', 'DBRR']
['501', 'DB Surgical Room', 'DBSR']
['503', 'DB Viewing Room', 'DBVR']
['1246', 'DC Conference Room', 'DCCR']
['508', 'DC Forum Restaurant', 'DCFR']
['536', 'DC Meeting Room 1', 'DCMR1']
['539', 'DC Meeting Room 2', 'DCMR2']
['540', 'DC Meeting Room 3', 'DCMR3']
['538', 'DC Reading Room', 'DCRR']
['618', 'DC School Bldg Mtg Rm 10', 'DCSMR10']
['619', 'DC School Bldg Mtg Rm 11', 'DCSMR11']
['612', 'DC School Bldg Mtg Rm 4', 'DCSMR4']
['614', 'DC School Bldg Mtg Rm 6', 'DCSMR6']
['615', 'DC School Bldg Mtg Rm 7', 'DCSMR7']
['616', 'DC School Bldg Mtg Rm 8', 'DCSMR8']
['617', 'DC School Bldg Mtg Rm 9', 'DCSMR9']
['541', 'DC The Boardroom', 'DCTBR']
